current_tariff,arpu_segment,data_segment,call_segment,n,arpu_sum,arpu_mean,arpu_median
tariff_10,HIGH,LITE,HIGH,196,1725230.1774542208,8802.194782929699,8056.358632875097
tariff_14,MID,LITE,LOW,376,1710453.8144906238,4549.079293858042,4444.812617403241
tariff_12,HIGH,HEAVY,MEDIUM,197,1708520.946736312,8672.69516109803,8124.22784631067
tariff_14,HIGH,HEAVY,HIGH,175,1530615.2247076584,8746.372712615192,8323.860883265093
tariff_11,HIGH,LITE,LOW,186,1432181.7546982924,7699.901906980066,7894.230377939152
tariff_4,HIGH,LITE,HIGH,160,1324422.069329986,8277.637933312413,7648.790690762471
tariff_14,HIGH,LITE,MEDIUM,155,1274705.669790817,8223.907547037528,7618.119191248164
tariff_13,MID,LITE,MEDIUM,217,1197987.3725095561,5520.6791359887375,5258.695030190508
tariff_8,MID,LITE,MEDIUM,228,1173834.3266093433,5148.396169339225,4881.825383150812
tariff_12,HIGH,HEAVY,HIGH,105,1045243.7304437673,9954.702194702546,9205.455533190358
tariff_14,HIGH,HEAVY,LOW,144,1031501.0262244204,7163.201571002919,6777.565161960922
tariff_13,MID,LITE,LOW,240,1030926.4294088808,4295.52678920367,4043.5358315772064
tariff_4,MID,LITE,MEDIUM,187,996251.3668430952,5327.547416273236,5084.850523884586
tariff_4,MID,HEAVY,LOW,209,988210.1659548009,4728.278306003832,4818.692084334721
tariff_10,MID,HEAVY,LOW,216,983783.1460440825,4554.551602055937,4669.638550670379
tariff_8,MID,HEAVY,MEDIUM,181,975281.2204173066,5388.294035454733,5192.753474340623
tariff_10,MID,LITE,LOW,225,919033.2473778287,4084.5922105681275,3739.376270649203
tariff_12,HIGH,HEAVY,LOW,110,882906.5155985756,8026.42286907796,7491.569762177962
tariff_11,HIGH,LITE,HIGH,90,882295.1614994936,9803.279572216596,9273.124590201482
tariff_8,LOW,LITE,LOW,304,868922.0385268288,2858.296179364568,2547.5904084890644
tariff_13,HIGH,LITE,MEDIUM,121,830034.8852714861,6859.792440260216,6880.008421317224
tariff_14,HIGH,LITE,LOW,117,788461.9342539725,6738.990891059594,6801.55602713284
tariff_13,MID,NON_USER,LOW,190,773854.3405436066,4072.9175818084555,3877.8262166110853
tariff_4,MID,HEAVY,MEDIUM,126,741089.0150715163,5881.6588497739385,5657.514798423685
tariff_11,MID,HEAVY,LOW,168,737642.6066292257,4390.729801364439,4554.796997496896
tariff_12,LOW,LITE,LOW,261,720914.1282157752,2762.1230966121657,2489.398478424594
tariff_12,HIGH,LITE,LOW,62,716017.3970464639,11548.667694297805,7999.707998946684
tariff_11,LOW,LITE,LOW,252,678197.2981474894,2691.2591196328945,2435.7702242160144
tariff_13,HIGH,LITE,HIGH,91,660828.6101294922,7261.852858565849,6790.965913945267
tariff_11,MID,LITE,LOW,169,660160.0515942223,3906.2724946403687,3784.9446384486578
tariff_10,LOW,LITE,LOW,248,650905.8267669794,2624.620269221691,2438.241466871121
tariff_13,MID,NON_USER,MEDIUM,136,640133.7473957447,4706.8657896745935,4537.781596011693
tariff_14,MID,HEAVY,LOW,128,615541.7491763068,4808.919915439897,4952.4381961307645
tariff_4,LOW,LITE,LOW,194,577495.4406257694,2976.7806217823168,2649.1415721672665
tariff_14,MID,LITE,MEDIUM,95,575120.9753251672,6053.905003422812,5728.797593862795
tariff_12,MID,HEAVY,LOW,145,570122.8794636343,3931.8819273354093,3741.8271141559153
tariff_13,HIGH,HEAVY,MEDIUM,74,551272.9487912094,7449.634443124451,7505.4038987179465
tariff_14,LOW,LITE,LOW,169,548949.3318740637,3248.220898663099,2854.5924698044178
tariff_12,HIGH,LITE,MEDIUM,60,542139.3278928243,9035.655464880405,9109.02256186644
tariff_13,HIGH,HEAVY,HIGH,67,511301.4987656135,7631.365653218111,7541.065170721748
tariff_12,MID,LITE,LOW,114,488686.5492672884,4286.724116379723,4373.431620887114
tariff_10,MID,HEAVY,MEDIUM,86,486420.8202467066,5656.05604938031,5479.7735998649105
tariff_8,MID,HEAVY,HIGH,78,455175.6278107119,5835.584971932204,5664.3598297640165
tariff_14,HIGH,LITE,HIGH,56,454840.6384589098,8122.154258194818,7816.370421373946
tariff_13,MID,LITE,HIGH,76,445169.8665949189,5857.498244669985,5394.573981874248
tariff_14,MID,HEAVY,MEDIUM,67,364241.1375352012,5436.434888585092,5226.841773099583
tariff_11,MID,HEAVY,MEDIUM,69,358735.9657133278,5199.071966859823,5105.020808073053
tariff_13,HIGH,NON_USER,MEDIUM,45,357784.1469061503,7950.7588201366725,6613.619620218617
tariff_13,LOW,LITE,LOW,111,357589.182726602,3221.524168708126,2862.1412441688617
tariff_8,MID,LITE,HIGH,64,349062.2360840193,5454.097438812802,5125.522538257436
tariff_13,HIGH,LITE,LOW,53,341347.80888545595,6440.524695951999,6232.736354158317
tariff_13,LOW,NON_USER,LOW,114,319732.58531781763,2804.671801033488,2636.7790372750605
tariff_4,MID,LITE,HIGH,52,303971.70044581284,5845.609623957939,5680.884088157522
tariff_12,HIGH,LITE,HIGH,27,296537.9677983971,10982.88769623693,9691.694835257573
tariff_13,MID,HEAVY,MEDIUM,46,291138.31971693056,6329.093906889795,6024.597619102452
tariff_10,MID,LITE,MEDIUM,55,280709.26605935785,5103.80483744287,5011.930092579856
tariff_11,LOW,HEAVY,LOW,102,280673.38027877396,2751.6998066546466,2286.227097245875
tariff_4,MID,HEAVY,HIGH,49,268604.4335725973,5481.723134134639,5438.46438643534
tariff_12,MID,HEAVY,MEDIUM,43,222508.52927911936,5174.61695997952,5076.722236793999
tariff_12,LOW,HEAVY,LOW,79,222129.60893990094,2811.767201770898,2329.0415046614426
tariff_13,MID,HEAVY,LOW,50,222052.36678002664,4441.047335600533,4102.121201114304
tariff_10,LOW,HEAVY,LOW,86,221166.3097661391,2571.701276350455,2027.1852883402958
tariff_13,MID,NON_USER,HIGH,40,219308.30574689427,5482.707643672356,5127.822133368577
tariff_8,LOW,NON_USER,LOW,69,214154.0040481301,3103.681218088842,2675.565880318695
tariff_13,HIGH,NON_USER,HIGH,25,201550.00613370418,8062.0002453481675,6111.9977794651495
tariff_5,HIGH,HEAVY,MEDIUM,29,185694.73706784248,6403.266795442844,5486.255
tariff_8,LOW,HEAVY,LOW,73,184040.1540679643,2521.098000931018,2330.722669573136
tariff_13,HIGH,HEAVY,LOW,28,180931.03281989662,6461.822600710593,5943.7805126763415
tariff_13,MID,HEAVY,HIGH,27,180000.4894438911,6666.6847942181885,6239.224476228214
tariff_5,MID,LITE,LOW,45,175368.38510951764,3897.0752246559473,3771.066666666667
tariff_11,MID,LITE,MEDIUM,30,156166.9698081564,5205.56566027188,4819.995
tariff_10,MID,HEAVY,HIGH,28,152984.3350776778,5463.726252774207,5206.637967771734
tariff_3,MID,LITE,LOW,36,152159.1053205312,4226.6418144592,4391.7693159271075
tariff_5,HIGH,LITE,LOW,20,149069.796667463,7453.48983337315,6901.651696761886
tariff_4,MID,NON_USER,LOW,41,148811.49534360258,3629.548666917136,3169.3079208916806
tariff_14,MID,LITE,HIGH,27,138604.16157745273,5133.487465831583,5164.903627081254
tariff_8,MID,NON_USER,LOW,36,138563.00192631688,3848.9722757310246,3400.297580194157
tariff_4,LOW,NON_USER,LOW,47,132110.83218819782,2810.8687699616557,2621.516870556047
tariff_4,LOW,HEAVY,LOW,52,132012.14901621747,2538.6951733887977,2437.7762766355427
tariff_5,HIGH,HEAVY,LOW,21,130582.17206770316,6218.198669890627,5442.719999999999
tariff_5,HIGH,HEAVY,HIGH,18,129382.90542422084,7187.9391902344905,6788.428506390195
tariff_6,HIGH,HEAVY,MEDIUM,20,127850.89383141007,6392.544691570503,6631.490931546616
tariff_7,HIGH,HEAVY,MEDIUM,19,125909.10567277003,6626.795035408949,6298.945354524207
tariff_14,MID,NON_USER,LOW,32,119301.3487096535,3728.1671471766717,3393.659743054373
tariff_7,HIGH,LITE,LOW,13,110937.88399806008,8533.68338446616,7424.726886528575
tariff_14,MID,HEAVY,HIGH,19,108952.13804690361,5734.32305510019,5161.429407192503
tariff_7,HIGH,HEAVY,HIGH,14,107006.02110789568,7643.287221992548,7609.877573991927
tariff_14,LOW,NON_USER,LOW,38,106990.10279494186,2815.5290209195227,2594.9399392920704
tariff_1,LOW,NON_USER,LOW,32,104362.0927095436,3261.3153971732377,3010.1687991110684
tariff_11,MID,HEAVY,HIGH,19,102681.38883297185,5404.283622787992,5192.753474340623
tariff_19,HIGH,HEAVY,HIGH,15,97896.09145929472,6526.406097286314,7089.736015531461
tariff_11,LOW,NON_USER,LOW,29,95479.23422507248,3292.3873870714647,2664.8848236205827
tariff_1,MID,LITE,LOW,17,94943.67330387393,5584.921959051408,5076.722236793999
tariff_12,MID,LITE,MEDIUM,17,90644.8123001646,5332.047782362623,5161.429407192503
tariff_10,MID,LITE,HIGH,16,89195.68300587748,5574.7301878673425,5469.697937190314
tariff_3,LOW,NON_USER,LOW,30,89149.60105722642,2971.653368574214,2760.138621287536
tariff_15,MID,LITE,HIGH,15,88169.45666279834,5877.96377751989,5132.4690761869015
tariff_12,MID,HEAVY,HIGH,15,88147.65110814464,5876.510073876309,5445.512889393316
tariff_18,HIGH,HEAVY,MEDIUM,12,84942.69927111157,7078.5582725926315,7269.504533185423
tariff_4,HIGH,NON_USER,HIGH,8,84655.7640903776,10581.9705112972,7821.8954385399065
tariff_5,HIGH,LITE,MEDIUM,12,84588.374562941,7049.031213578416,7000.180106223256
tariff_20,HIGH,HEAVY,MEDIUM,10,81702.59189109392,8170.2591891093925,7852.201640697327
tariff_10,LOW,NON_USER,LOW,27,81536.91629484674,3019.8857886980277,2503.1957265476926
tariff_9,MID,LITE,LOW,24,80449.78616990743,3352.0744237461427,3004.035222486844
tariff_19,HIGH,HEAVY,MEDIUM,8,80446.24300902175,10055.78037612772,8073.837646538763
tariff_7,HIGH,HEAVY,LOW,13,79301.04657984679,6100.080506142061,5161.429407192503
tariff_13,HIGH,NON_USER,LOW,12,77700.23608220225,6475.019673516854,5507.524022462971
tariff_9,LOW,NON_USER,LOW,26,75387.313850518,2899.512071173769,2649.860789199201
tariff_5,MID,HEAVY,LOW,20,75147.36007332524,3757.3680036662618,3539.0733333333337
tariff_8,HIGH,NON_USER,MEDIUM,10,74060.81997746382,7406.081997746382,6889.812169208622
tariff_15,MID,LITE,MEDIUM,15,71659.82759240139,4777.321839493426,4571.542401125273
tariff_4,MID,NON_USER,MEDIUM,14,70582.06000020065,5041.5757143000465,4475.678750088085
tariff_20,HIGH,LITE,MEDIUM,9,70040.53573689387,7782.281748543764,7894.454561189711
tariff_7,MID,LITE,LOW,17,69293.6762239493,4076.098601408782,4952.4381961307645
tariff_5,LOW,LITE,LOW,22,68621.43021523983,3119.1559188745377,4016.291903268051
tariff_3,MID,HEAVY,MEDIUM,13,67336.4705774285,5179.728505956038,5161.429407192503
tariff_15,MID,NON_USER,MEDIUM,15,67032.39948715376,4468.826632476917,4410.626279701705
tariff_3,MID,HEAVY,LOW,19,66171.01959349091,3482.6852417626797,3354.9466666666667
tariff_3,HIGH,HEAVY,MEDIUM,9,65930.55680597085,7325.61742288565,7368.897488273816
tariff_12,LOW,NON_USER,LOW,21,65854.52435267642,3135.9297310798297,2635.2242223994303
tariff_8,MID,NON_USER,MEDIUM,13,65312.46184068908,5024.035526206852,5105.020808073053
tariff_17,MID,LITE,LOW,13,64300.511166615994,4946.193166662769,5177.7791818148735
tariff_9,MID,HEAVY,LOW,17,63769.41451641312,3751.1420303772425,3263.752064574508
tariff_7,HIGH,LITE,MEDIUM,8,61446.981318119164,7680.8726647648955,7648.724858513644
tariff_9,MID,HEAVY,MEDIUM,10,61390.947223910465,6139.094722391046,5503.600506426275
tariff_15,MID,NON_USER,LOW,14,60778.601832232474,4341.3287023023195,3959.9811151448494
tariff_20,HIGH,HEAVY,HIGH,9,60748.31933723169,6749.81325969241,7507.889123057305
tariff_6,HIGH,LITE,MEDIUM,9,60011.0014786568,6667.889053184089,5326.776666666667
tariff_7,LOW,NON_USER,LOW,21,59234.11397753616,2820.6720941683884,2495.6885037939114
tariff_17,HIGH,HEAVY,HIGH,6,58863.38608571881,9810.564347619802,7025.559241441958
tariff_7,MID,HEAVY,LOW,11,58717.76813662141,5337.978921511037,5192.753474340623
tariff_15,MID,NON_USER,HIGH,9,57385.253587494626,6376.139287499403,5892.953915184546
tariff_17,HIGH,LITE,HIGH,5,57077.5801247522,11415.51602495044,8987.639296426014
tariff_5,LOW,NON_USER,LOW,19,57068.48743922292,3003.604602064364,2708.833502733209
tariff_9,LOW,LITE,LOW,18,56072.32824182935,3115.129346768297,2656.275535229459
tariff_10,MID,NON_USER,LOW,12,55231.88907891427,4602.657423242856,4542.1124388616645
tariff_18,HIGH,HEAVY,HIGH,6,54745.88398892048,9124.313998153413,7637.473471718555
tariff_6,LOW,LITE,LOW,17,53960.56882929898,3174.1511076058223,3602.193775774281
tariff_5,HIGH,LITE,HIGH,7,52243.17989617697,7463.311413739567,5981.62
tariff_19,MID,LITE,LOW,13,52071.93273969436,4005.533287668797,3703.4273894348953
tariff_18,LOW,NON_USER,LOW,16,51457.67991206876,3216.1049945042973,2815.7221557476255
tariff_7,MID,HEAVY,MEDIUM,9,51013.92871191975,5668.214301324417,5105.020808073053
tariff_6,HIGH,HEAVY,LOW,9,50450.645496394805,5605.627277377201,5192.753474340623
tariff_3,LOW,LITE,LOW,18,49685.885178557655,2760.326954364314,2918.7192735073586
tariff_20,HIGH,LITE,LOW,6,48944.82289750465,8157.470482917442,8000.5568839121825
tariff_18,HIGH,LITE,HIGH,4,48481.51848163366,12120.379620408416,12319.25790000434
tariff_14,LOW,HEAVY,LOW,17,47637.68878471028,2802.2169873358985,2423.7550544835917
tariff_15,MID,LITE,LOW,11,47541.086255842485,4321.916932349317,4099.722699552855
tariff_17,HIGH,HEAVY,MEDIUM,7,47018.05367894091,6716.864811277273,6830.557331512925
tariff_18,HIGH,LITE,MEDIUM,6,46664.850680725714,7777.475113454286,8300.726722215742
tariff_17,HIGH,LITE,MEDIUM,5,46653.582307159515,9330.716461431903,8039.722503881389
tariff_3,HIGH,LITE,MEDIUM,7,42900.55327029942,6128.650467185631,5192.753474340623
tariff_6,LOW,NON_USER,LOW,12,42472.71699324917,3539.393082770764,4109.667554175954
tariff_15,HIGH,LITE,MEDIUM,7,42042.61738483268,6006.08819783324,5167.337837356036
tariff_1,MID,NON_USER,LOW,9,40020.54016401906,4446.726684891007,4473.414558482201
tariff_21,LOW,LITE,LOW,8,39174.09003981063,4896.761254976329,5230.877068936808
tariff_15,HIGH,LITE,HIGH,5,38211.97151384405,7642.39430276881,5743.396431377121
tariff_4,MID,NON_USER,HIGH,6,36733.68621841849,6122.281036403081,5307.401693164411
tariff_6,MID,LITE,LOW,11,36460.45838398691,3314.587125816992,2915.705
tariff_3,HIGH,HEAVY,HIGH,5,36424.32596801157,7284.865193602314,6735.013940148194
tariff_8,MID,NON_USER,HIGH,6,36244.22880582672,6040.704800971121,5243.120285910614
tariff_6,MID,HEAVY,LOW,8,35896.84430865636,4487.105538582045,4722.317757181992
tariff_2,MID,LITE,LOW,8,35584.64112448011,4448.080140560014,4055.3548384585974
tariff_7,MID,NON_USER,LOW,7,35508.65346227865,5072.664780325521,2936.6775
tariff_7,HIGH,LITE,HIGH,5,34836.585967762265,6967.317193552453,6624.211607093118
tariff_3,HIGH,HEAVY,LOW,6,34794.22324881342,5799.03720813557,5510.167258898458
tariff_13,LOW,HEAVY,LOW,14,34161.4821923522,2440.1058708823,2034.0117425074136
tariff_14,MID,NON_USER,MEDIUM,8,33773.7519745756,4221.71899682195,4062.0190756773763
tariff_19,HIGH,LITE,MEDIUM,4,33768.30527120585,8442.076317801462,8162.012044325286
tariff_6,HIGH,LITE,LOW,6,33559.58304658585,5593.263841097642,5072.595835235694
tariff_15,LOW,NON_USER,LOW,11,32888.38942882547,2989.853584438679,2910.507227079643
tariff_5,MID,NON_USER,LOW,7,32763.811829238228,4680.544547034033,5076.722236793999
tariff_5,MID,HEAVY,MEDIUM,8,32508.122094777238,4063.5152618471548,3978.453333333334
tariff_17,MID,HEAVY,LOW,6,31956.719462210192,5326.119910368366,5425.202374401544
tariff_5,MID,LITE,MEDIUM,7,31899.456175058447,4557.065167865492,5076.722236793999
tariff_7,LOW,LITE,LOW,7,31739.06704063993,4534.1524343771325,4955.487950858469
tariff_18,MID,LITE,LOW,6,31328.809133663184,5221.468188943864,5455.539081807634
tariff_1,HIGH,LITE,LOW,3,30883.23100796934,10294.41033598978,9860.558802842206
tariff_8,LOW,LITE,MEDIUM,7,30001.90975976464,4285.987108537805,3193.1047553702583
tariff_3,MID,LITE,MEDIUM,7,29115.772705555868,4159.396100793695,4196.6554599436895
tariff_12,MID,NON_USER,LOW,6,28920.650650041436,4820.108441673573,5207.120912892857
tariff_18,HIGH,HEAVY,LOW,4,27053.89150802363,6763.472877005907,6850.299242333123
tariff_11,MID,NON_USER,LOW,6,26691.104168488597,4448.517361414766,4782.038869140291
tariff_4,HIGH,NON_USER,MEDIUM,4,26502.786600323943,6625.696650080986,5329.830776114035
tariff_6,HIGH,HEAVY,HIGH,3,25453.508362201414,8484.502787400472,6209.318032710116
tariff_10,MID,NON_USER,MEDIUM,5,25154.695843720365,5030.939168744073,5244.766982147084
tariff_19,MID,LITE,MEDIUM,4,25045.20956610743,6261.302391526858,5333.3491717997495
tariff_13,LOW,LITE,MEDIUM,5,24314.862441309917,4862.972488261983,3808.611499258507
tariff_21,MID,HEAVY,LOW,6,23861.682066507365,3976.947011084561,4698.925479537184
tariff_6,HIGH,NON_USER,HIGH,2,23610.970808073052,11805.485404036526,11805.485404036526
tariff_19,LOW,NON_USER,LOW,8,23301.45754305297,2912.682192881621,2519.1486071020863
tariff_1,HIGH,NON_USER,MEDIUM,3,23139.13110731889,7713.043702439631,6260.762947426236
tariff_17,MID,HEAVY,MEDIUM,4,22906.668452545135,5726.667113136284,5505.875635263581
tariff_10,HIGH,NON_USER,MEDIUM,3,22842.23784288348,7614.07928096116,7190.606434697684
tariff_1,LOW,LITE,LOW,7,22759.64601382189,3251.378001974556,3115.959280557596
tariff_9,MID,HEAVY,HIGH,4,22575.805390862366,5643.9513477155915,5524.085273695445
tariff_7,MID,LITE,MEDIUM,3,22554.91669518564,7518.30556506188,8336.217635471232
tariff_7,MID,HEAVY,HIGH,3,22488.408117331943,7496.136039110647,7947.513530328552
tariff_19,HIGH,HEAVY,LOW,3,22470.89249862826,7490.297499542753,7503.741340396025
tariff_2,LOW,NON_USER,LOW,8,21715.670718713147,2714.4588398391434,2598.4887500979685
tariff_17,MID,LITE,MEDIUM,4,20986.322897625298,5246.580724406324,5312.949331171936
tariff_17,HIGH,LITE,LOW,3,20927.134616294436,6975.711538764812,6849.719153032971
tariff_14,MID,NON_USER,HIGH,3,20030.948519878504,6676.982839959502,6902.13392958799
tariff_9,HIGH,LITE,MEDIUM,3,19795.271213175118,6598.423737725039,5037.529788506736
tariff_21,MID,LITE,LOW,3,19749.274588850472,6583.091529616824,6195.426484853929
tariff_1,HIGH,LITE,MEDIUM,3,19296.854199837155,6432.284733279052,6263.211853643547
tariff_16,LOW,NON_USER,LOW,7,18689.722474227492,2669.96035346107,2499.464724675572
tariff_20,MID,LITE,LOW,3,18600.845210560976,6200.281736853659,7711.295753758757
tariff_8,HIGH,NON_USER,LOW,4,17676.288280599263,4419.072070149816,4596.462973648597
tariff_19,LOW,LITE,LOW,6,17436.99283957429,2906.1654732623815,2904.9103934143577
tariff_1,MID,NON_USER,MEDIUM,3,17242.992354864517,5747.664118288172,5940.1103583911145
tariff_3,LOW,HEAVY,LOW,6,17052.116815631103,2842.0194692718505,2754.6654098161653
tariff_11,MID,LITE,HIGH,3,16926.25383766445,5642.084612554817,5105.020808073053
tariff_6,MID,HEAVY,MEDIUM,4,16896.912470065723,4224.228117516431,3543.4032926436685
tariff_9,MID,LITE,HIGH,3,16896.482922517724,5632.160974172574,5863.986357063132
tariff_9,HIGH,LITE,HIGH,3,16849.568524109753,5616.522841369918,5534.35367763041
tariff_8,HIGH,NON_USER,HIGH,3,16812.775439079385,5604.258479693129,6693.987427825891
tariff_15,HIGH,NON_USER,HIGH,2,16668.77772224998,8334.38886112499,8334.38886112499
tariff_2,HIGH,LITE,MEDIUM,3,16465.328866398715,5488.442955466238,5338.966188025953
tariff_17,MID,LITE,HIGH,3,16462.835266390102,5487.611755463367,5430.241983747778
tariff_18,HIGH,LITE,LOW,2,16216.141017456037,8108.0705087280185,8108.0705087280185
tariff_9,HIGH,HEAVY,MEDIUM,3,15892.373018311595,5297.457672770532,5245.365409304369
tariff_14,LOW,LITE,MEDIUM,5,15645.683393999887,3129.1366787999773,2734.4378705226704
tariff_21,HIGH,HEAVY,LOW,2,15590.52116662707,7795.260583313535,7795.260583313535
tariff_6,MID,NON_USER,LOW,5,15455.447519362857,3091.089503872571,2966.69
tariff_17,LOW,LITE,LOW,5,15416.665347511318,3083.3330695022637,3026.863843072852
tariff_20,LOW,LITE,LOW,4,15207.65487189724,3801.91371797431,2703.809017268145
tariff_9,MID,NON_USER,MEDIUM,3,15079.104236396186,5026.368078798729,4610.255121850531
tariff_14,HIGH,NON_USER,MEDIUM,3,14996.190796224479,4998.7302654081595,4942.963584934751
tariff_6,HIGH,LITE,HIGH,2,14796.01674229108,7398.00837114554,7398.00837114554
tariff_2,MID,LITE,MEDIUM,3,14785.489885970252,4928.4966286567505,4686.123342854367
tariff_19,MID,HEAVY,LOW,3,14651.41425079439,4883.804750264797,5215.732851724214
tariff_19,HIGH,LITE,HIGH,1,14651.175616078008,14651.175616078008,14651.175616078008
tariff_18,MID,LITE,MEDIUM,2,14556.775414613323,7278.3877073066615,7278.3877073066615
tariff_13,LOW,NON_USER,MEDIUM,5,14357.266131934508,2871.4532263869014,2743.722224976741
tariff_2,MID,NON_USER,MEDIUM,3,14329.527014445655,4776.509004815219,4778.419230476678
tariff_12,MID,LITE,HIGH,2,14028.834062132843,7014.417031066421,7014.417031066421
tariff_12,HIGH,NON_USER,LOW,3,14026.351703487257,4675.450567829085,2753.220068481304
tariff_20,HIGH,HEAVY,LOW,2,13974.766109869917,6987.383054934959,6987.383054934959
tariff_3,MID,NON_USER,LOW,5,13974.722824177747,2794.9445648355495,2659.29538088017
tariff_16,MID,LITE,LOW,4,13368.601988327895,3342.1504970819738,3394.5498274703127
tariff_6,MID,HEAVY,HIGH,3,12769.011666666665,4256.3372222222215,4249.025
tariff_9,LOW,HEAVY,LOW,3,11679.257612955254,3893.085870985085,3435.7309919492345
tariff_2,HIGH,HEAVY,MEDIUM,2,11556.174899996964,5778.087449998482,5778.087449998482
tariff_18,MID,HEAVY,MEDIUM,2,11509.95265146554,5754.97632573277,5754.97632573277
tariff_9,MID,NON_USER,LOW,4,11436.609011331087,2859.152252832772,2476.2011438729382
tariff_4,LOW,LITE,MEDIUM,5,11188.412382466831,2237.6824764933663,855.005
tariff_10,MID,NON_USER,HIGH,2,11187.064540748399,5593.5322703741995,5593.5322703741995
tariff_10,LOW,HEAVY,MEDIUM,4,10986.408066681734,2746.6020166704334,2475.833079744615
tariff_3,MID,LITE,HIGH,3,10968.612568322249,3656.20418944075,4004.205274958256
tariff_12,HIGH,NON_USER,MEDIUM,1,10876.545204365051,10876.545204365051,10876.545204365051
tariff_21,HIGH,HEAVY,MEDIUM,1,10804.267818714254,10804.267818714254,10804.267818714254
tariff_1,MID,LITE,MEDIUM,2,10615.913190219975,5307.956595109988,5307.956595109988
tariff_15,LOW,LITE,LOW,3,10478.670676210715,3492.8902254035715,3193.1047553702583
tariff_6,MID,LITE,MEDIUM,2,10272.929331423435,5136.464665711717,5136.464665711717
tariff_11,LOW,LITE,MEDIUM,1,10175.675298998434,10175.675298998434,10175.675298998434
tariff_19,HIGH,LITE,LOW,2,10118.105692371722,5059.052846185861,5059.052846185861
tariff_9,MID,LITE,MEDIUM,2,9673.250316834932,4836.625158417466,4836.625158417466
tariff_15,MID,HEAVY,LOW,1,9615.634213913012,9615.634213913012,9615.634213913012
tariff_16,MID,HEAVY,MEDIUM,1,9478.240746185573,9478.240746185573,9478.240746185573
tariff_12,HIGH,NON_USER,HIGH,1,9447.309810212031,9447.309810212031,9447.309810212031
tariff_2,MID,HEAVY,MEDIUM,2,9395.234412896622,4697.617206448311,4697.617206448311
tariff_21,LOW,NON_USER,LOW,2,9147.523350224623,4573.761675112311,4573.761675112311
tariff_16,MID,LITE,MEDIUM,1,9057.071678665889,9057.071678665889,9057.071678665889
tariff_19,MID,LITE,HIGH,1,8855.315932297355,8855.315932297355,8855.315932297355
tariff_5,MID,NON_USER,MEDIUM,1,8765.586890968007,8765.586890968007,8765.586890968007
tariff_18,LOW,LITE,LOW,3,8605.300293480199,2868.4334311600664,3066.8389237359665
tariff_21,HIGH,HEAVY,HIGH,1,8507.609769043478,8507.609769043478,8507.609769043478
tariff_18,MID,HEAVY,LOW,2,8267.122078831451,4133.561039415726,4133.561039415726
tariff_19,MID,NON_USER,LOW,2,8152.0227211660895,4076.0113605830447,4076.0113605830447
tariff_18,HIGH,NON_USER,MEDIUM,1,8032.275874897457,8032.275874897457,8032.275874897457
tariff_8,LOW,HEAVY,MEDIUM,2,7997.153004404685,3998.5765022023425,3998.5765022023425
tariff_17,LOW,NON_USER,LOW,3,7900.439145799701,2633.479715266567,3703.956618207148
